City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,Tabou,4.423,-7.3528,79.2,86,42,8.43,CI,2023-01-25 23:57:54
236,Inhambane,-23.865,35.3833,79.38,63,24,15.3,MZ,2023-01-25 23:57:54
237,Beloha,-25.1667,45.05,73.76,84,98,20.58,MG,2023-01-25 23:57:55
238,Nantai,40.9241,122.8044,10.36,67,71,3.6,CN,2023-01-25 23:57:55
239,Tual,-5.6667,132.75,81.37,80,99,12.53,ID,2023-01-25 23:57:55
240,Port-Cartier,50.0334,-66.8654,4.68,92,36,4.63,CA,2023-01-25 23:57:56
241,Dhidhdhoo,6.8833,73.1,79.27,77,100,10.47,MV,2023-01-25 23:57:56
242,Waipawa,-41.4122,175.5153,72.03,57,24,4.23,NZ,2023-01-25 23:57:56
243,Marawi,7.9986,124.2928,67.32,90,100,1.88,PH,2023-01-25 23:57:57
244,Torbay,47.6666,-52.7314,30.58,77,40,18.41,CA,2023-01-25 23:57:57
245,Bengkulu,-3.8004,102.2655,75.15,87,100,4.25,ID,2023-01-25 23:57:57
246,Asyut,27.181,31.1837,55.58,54,0,4.83,EG,2023-01-25 23:57:58
247,Varhaug,58.6147,5.6457,41.9,90,13,15.7,NO,2023-01-25 23:57:58
248,Quatre Cocos,-20.2078,57.7625,76.08,95,100,13.13,MU,2023-01-25 23:57:58
249,Union,40.6334,-74.2663,48.52,94,100,11.99,US,2023-01-25 23:57:58
250,Kita,13.0349,-9.4895,81.19,19,57,1.99,ML,2023-01-25 23:57:59
251,Methven,-43.6333,171.65,74.01,60,28,3.0,NZ,2023-01-25 23:57:59
252,Chuy,-33.6971,-53.4616,73.29,75,91,9.6,UY,2023-01-25 23:58:00
253,Vao,-22.6667,167.4833,80.35,80,1,5.93,NC,2023-01-25 23:58:00
254,Matay,28.419,30.7792,53.4,63,0,8.28,EG,2023-01-25 23:58:00
255,Sao Felix Do Xingu,-6.6447,-51.995,72.99,97,100,0.63,BR,2023-01-25 23:58:00
256,Barao De Cocais,-19.9458,-43.4872,71.98,98,70,2.8,BR,2023-01-25 23:58:01
257,Grindavik,63.8424,-22.4338,41.47,81,75,17.27,IS,2023-01-25 23:58:01
258,Alibag,18.6411,72.8792,68.07,48,73,10.67,IN,2023-01-25 23:58:01
259,Samarai,-10.6167,150.6667,81.3,80,100,10.42,PG,2023-01-25 23:58:02
260,Seoul,37.5683,126.9778,20.64,83,100,5.75,KR,2023-01-25 23:54:03
261,Churapcha,62.0025,132.4325,-45.53,97,99,1.59,RU,2023-01-25 23:58:02
262,San Borja,-14.8167,-66.85,80.78,68,84,3.87,BO,2023-01-25 23:58:03
263,Upernavik,72.7868,-56.1549,4.6,95,100,11.34,GL,2023-01-25 23:58:03
264,Faya,18.3851,42.4509,54.12,53,0,4.14,SA,2023-01-25 23:58:04
265,Saint George,37.1041,-113.5841,49.42,31,16,11.01,US,2023-01-25 23:58:04
266,Batagay,67.6333,134.6333,-36.92,92,100,2.19,RU,2023-01-25 23:58:04
267,Zwedru,6.0667,-8.1281,72.68,94,47,3.38,LR,2023-01-25 23:58:05
268,Iqaluit,63.7506,-68.5145,-25.87,75,0,2.3,CA,2023-01-25 23:58:05
269,Sambava,-14.2667,50.1667,76.03,88,100,2.73,MG,2023-01-25 23:58:05
270,Araouane,18.9048,-3.5265,71.85,16,91,8.43,ML,2023-01-25 23:58:06
271,Maragogi,-9.0122,-35.2225,78.94,74,5,12.39,BR,2023-01-25 23:58:06
272,Constitucion,-35.3333,-72.4167,58.06,73,0,16.31,CL,2023-01-25 23:58:06
273,Lasa,46.6166,10.7002,27.01,58,24,3.74,IT,2023-01-25 23:59:07
274,Ostrovnoy,68.0531,39.5131,21.67,92,91,20.47,RU,2023-01-25 23:59:07
275,Hof,50.3167,11.9167,30.45,93,100,4.61,DE,2023-01-25 23:59:08
276,Lata,40.1629,-8.3327,36.07,81,0,3.29,PT,2023-01-25 23:59:08
277,Jishou,28.3167,109.7167,35.44,54,1,1.81,CN,2023-01-25 23:59:08
278,Lure,47.75,6.5,33.17,93,100,5.75,FR,2023-01-25 23:59:09
279,Olafsvik,64.8945,-23.7142,40.53,86,100,26.82,IS,2023-01-25 23:59:09
280,Do Gonbadan,30.3586,50.7981,44.69,87,0,0.0,IR,2023-01-25 23:59:09
281,Quelimane,-17.8786,36.8883,76.95,94,75,11.5,MZ,2023-01-25 23:59:10
282,Kidal,18.4411,1.4078,74.03,15,55,11.12,ML,2023-01-25 23:59:10
283,Victoria,22.2855,114.1577,59.95,73,41,4.0,HK,2023-01-25 23:58:06
284,Sumbe,-11.2061,13.8437,77.83,86,87,7.63,AO,2023-01-25 23:59:11
285,Leshukonskoye,64.8989,45.7622,33.76,98,100,12.91,RU,2023-01-25 23:59:11
286,Coquimbo,-29.9533,-71.3436,65.93,77,0,10.36,CL,2023-01-25 23:59:11
287,Dunedin,-45.8742,170.5036,69.31,63,47,8.37,NZ,2023-01-25 23:59:12
288,Yokadouma,3.5167,15.05,70.34,34,96,1.45,CM,2023-01-25 23:59:12
289,Coffs Harbour,-30.3,153.1333,87.13,65,0,11.5,AU,2023-01-25 23:56:18
290,Chokurdakh,70.6333,147.9167,-33.14,100,61,1.68,RU,2023-01-25 23:59:13
291,Tubmanburg,6.8708,-10.8172,72.59,95,99,3.24,LR,2023-01-25 23:59:13
